,text,Urdu_Translation
0,my dear how are you,میرے پیارے آپ کیسے ہیں
1,you have a nice,آپ کے پاس اچھا ہے۔
2,fabulous,شاندار
3,pathetic performance,قابل رحم کارکردگی
4,great job,بہت اچھا کام
5,hello I am a good boy,ہیلو میں ایک اچھا لڑکا ہوں۔
6,Mr Ali is a bad boy,مسٹر علی ایک برا لڑکا ہے۔
7,hello Mr Ali as I don't know why,ہیلو مسٹر علی جیسا کہ میں نہیں جانتا کیوں
8,Mister hello Mister Ali is very beautiful and pretty boy,مسٹر ہیلو مسٹر علی بہت خوبصورت اور خوبصورت لڑکا ہے۔
9,not well Mr Ali is my crush and I love him so much,ٹھیک نہیں مسٹر علی میرے چاہنے والے ہیں اور میں ان سے بہت پیار کرتا ہوں۔
10,Ali is not a good boy he is a dirty boy,علی اچھا لڑکا نہیں ہے وہ گندا لڑکا ہے۔
