,text,Urdu_Translation
0,my dear how are you,ma chérie comment vas-tu
1,you have a nice,tu as une belle
2,fabulous,fabuleux
3,pathetic performance,performance pathétique
4,great job,bon travail
5,hello I am a good boy,bonjour je suis un bon garçon
6,Mr Ali is a bad boy,Mr Ali est un mauvais garçon
7,hello Mr Ali as I don't know why,bonjour Mr Ali car je ne sais pas pourquoi
8,Mister hello Mister Ali is very beautiful and pretty boy,Monsieur bonjour Monsieur Ali est très beau et joli garçon
9,not well Mr Ali is my crush and I love him so much,pas bien Mr Ali est mon crush et je l'aime tellement
10,Ali is not a good boy he is a dirty boy,"Ali n'est pas un bon garçon, c'est un sale garçon"
